number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
0, 0.000331543616995, 0.000283097367630, 0.001158574972507, 0.001609031961920, -0.002139519715094, 0.000873949623660, -0.000002277000173, -0.004032749176025, 0.159293592453003, 0.009243936538696, -0.230658226013184, -0.033454246520996, -0.040717704772949, -0.022361362457275, 0.954878818485388, -0.296994743840623, 0.000751091866126, 2.402905556711266, 0.296984633261019, 0.954862030132068, 0.006215385658525, 2.500145721663168, -0.002563125975630, -0.005711877371637, 0.999980402229026, 1327.855596387197693, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
1, -1.570803515538344, 0.277246054726364, 0.000027503770986, -0.000049375037233, -0.000054935634407, 0.000074422039134, -0.000002696424608, 0.206342332839966, 23.596959678649903, 0.311652717590332, -8.232385768890381, 0.074391679763794, 1.055656558990478, -0.035377677917480, 0.296147953603260, 0.955123434430130, 0.005967795153504, 1.536696223159258, -0.917786720334395, 0.286290404345730, -0.275146034602342, -271.207495793105409, -0.264506948026769, 0.076006771947974, 0.961383921783391, 1289.971799945443991, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
2, -1.570801538189387, 0.462042802514895, 0.000025106943052, 0.000009827076342, -0.000047361603594, 0.000068609656399, -0.000002636537998, 0.293718564987183, 38.609540611267093, 0.485086574554443, -13.476338911056519, 0.204687166213989, 1.600839925765991, -0.039048946380615, 0.296713437061655, 0.954952673261116, 0.005150543515713, 0.603823654960903, -0.853040517572576, 0.267465075669970, -0.448089621254910, -441.957423188585039, -0.429281972189110, 0.128560589327776, 0.893973804551970, 1223.569492869223268, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
3, -1.570801538189387, 0.646773097819439, 0.000025526422029, -0.000083050728780, -0.000043334954481, 0.000072234923417, -0.000002636537998, 0.342111555099487, 52.385411796569826, 0.640472745895386, -18.223320417404175, 0.327939653396606, 2.130837591171264, -0.040050201416016, 0.296738862229047, 0.954949468905148, 0.004190403415742, -0.297718472314273, -0.759084647733611, 0.238534201779653, -0.605716049115824, -597.497860889453364, -0.579427773944389, 0.176558620347803, 0.795669848846071, 1126.731246360517844, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
4, -1.570797014077804, 0.831626411238088, 0.000026185556529, 0.000037330847328, -0.000040458826410, 0.000076998690522, -0.000002576596847, 0.415373165130615, 64.327726356506346, 0.775610294342041, -22.431512479782103, 0.426981830596924, 2.620785055160523, -0.041718959808350, 0.297608301339560, 0.954686551668665, 0.001699128239531, -0.885065064582932, -0.639506070901832, 0.200676644774025, -0.742132649545849, -732.220774336202794, -0.708845035429806, 0.219778234375546, 0.670250880970166, 1003.008940621312490, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
5, -1.570794886848698, 1.016447367125108, 0.000026724808725, 0.000078616501654, -0.000037918063354, 0.000081432808565, -0.000002456769086, 0.450323657989502, 74.017078376770030, 0.880374908447266, -25.800267066955566, 0.517220258712769, 2.960210512161255, -0.042052711486816, 0.297962644682389, 0.954577368242563, 0.000557147179086, -1.723488675401434, -0.498158728224235, 0.155993541545164, -0.852938389621554, -841.835309045812437, -0.814282594599620, 0.253866230592609, 0.522011295947522, 856.660420375354533, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
6, -1.570791351520678, 1.201200132889247, 0.000027264115463, 0.000003954806997, -0.000036096463216, 0.000086556058954, -0.000002396882476, 0.541060514450073, 81.177896663665763, 0.961809587478638, -28.262675685882567, 0.577085752487183, 3.254579492568970, -0.044388973236084, 0.299198026515351, 0.954190283193069, 0.001201827462777, -2.106172958320197, -0.339231032174034, 0.107547107911271, -0.934535139194916, -922.595578724456686, -0.891853602190101, 0.279203372185675, 0.355868837102504, 692.817628726729367, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
7, -1.570797823037912, 1.386034511230863, 0.000027683539899, -0.000063965826139, -0.000034993938729, 0.000091559481581, -0.000002366884629, 0.533667140960693, 85.557462268829340, 1.013751707077026, -29.747868156433107, 0.619783935546875, 3.442648563385010, -0.043387718200684, 0.300727200855903, 0.953710161303782, -0.000280875930839, -2.626728427471183, -0.169095092777029, 0.053029804789103, -0.984172083226687, -971.606561215782563, -0.938600021449020, 0.296014810490869, 0.177215212964220, 517.005132881716804, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
8, -1.385988431811586, 0.092387707941782, 0.000001557979063, -0.000013242576601, -0.000034418765475, -0.000039577904196, -0.000002816306911, -0.247341949462891, 7.994253116607666, 0.101243114471436, -2.856816577911377, -0.015406560897827, 0.444557235717773, -0.035043926239014, 0.465211274148226, 0.884906914625687, 0.022764508627071, 19.408881541637797, -0.880631015684885, 0.465266600680960, -0.089532142298683, -89.049178208072604, -0.089819177346445, 0.021604229642165, 0.995723743134800, 1323.667222363996871, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
9, -1.385987233424890, 0.277214416379468, -0.000000778962261, 0.000063816000531, -0.000034179044502, -0.000046918213606, -0.000002816306911, -0.070573110580444, 23.725335527420043, 0.306370468139648, -8.386451377868653, 0.117970237731934, 1.025452032089234, -0.037880815505981, 0.459620377110316, 0.886328858162057, 0.056305098651150, 51.581632345037484, -0.847839741724822, 0.456769619640964, -0.269312619320070, -266.638155732252415, -0.264418004865322, 0.076043867354276, 0.961405455019290, 1289.934088369271876, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
