number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
0, -1.570805343116235, 0.092449246942140, 0.000028971865593, -0.000088623346909, -0.000073199632344, 0.000027863308812, -0.000031967941417, 0.123670974731445, 9.856711111068726, 0.077472991943359, -3.954203901290894, 0.036975746154785, 0.544182111740112, -0.106633661270142, -0.007789356171467, 0.999961467546251, 0.004048376610746, 2.278704172770252, -0.995872473286380, -0.007391265670291, -0.090462070185573, -91.187657560581314, -0.090428661832974, -0.004736308112822, 0.995891673077227, 1325.403535572334704, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
1, -1.570805253231778, 0.277154944667065, 0.000030979266938, 0.000072474633482, -0.000072959998638, 0.000088443577996, -0.000031997884722, 0.259440196990967, 30.113210222244263, 0.273356409072876, -12.037806310653686, 0.174314231872559, 1.880857583999634, -0.113809322357178, -0.008452855116693, 0.999958664275636, 0.003349474654655, 1.338980600436495, -0.961804859122351, -0.007213741850508, -0.273640959830850, -272.136457678899490, -0.273605486438067, -0.005534588385797, 0.961826078936514, 1291.466874299313531, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
2, -1.570802436979409, 0.462000438247093, 0.000032597078070, 0.000042903574540, -0.000072816096241, 0.000197619922153, -0.000031818115809, 0.355554052352905, 49.004623737335208, 0.422139768600464, -19.595824899673460, 0.300648031234741, 3.095379941940307, -0.117146839141846, -0.007826616568320, 0.999967275177534, 0.002047595446165, 0.502845048325419, -0.894333713787897, -0.006083795625112, -0.447359135162276, -443.592796500858299, -0.447332038261782, -0.005332542058954, 0.894352062411526, 1224.631590998115598, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
3, -1.570800609346977, 0.646772588510547, 0.000034095115982, 0.000024597634160, -0.000072720277665, -0.000121220424979, -0.000031878002419, 0.438225410461426, 66.620344263076788, 0.566081066131592, -26.535380115509032, 0.415536956787109, 4.317244836807251, -0.119316225051880, -0.007711602980301, 0.999970035319004, 0.000677970194278, -0.252206028433117, -0.796015420524012, -0.005728385597411, -0.605249234519489, -599.463292583807174, -0.605227214744557, -0.005207116530046, 0.796035743211314, 1127.353097010275633, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
4, -1.570792370193003, 0.831608914203274, 0.000036072464939, 0.000018935077033, -0.000072624459089, -0.000114479308917, -0.000031728231353, 0.461749780654907, 81.651072566986088, 0.688893365859985, -32.533814554214473, 0.519421195983887, 5.277448415756226, -0.122486865997314, -0.007972145043104, 0.999968196432354, -0.000225892089664, -1.019223305424915, -0.670314473746033, -0.005511644235025, -0.742056687904911, -734.464084916772322, -0.742034332891674, -0.005764364808977, 0.670337094981591, 1003.206585228349809, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
5, -1.570788475327157, 1.016359612679458, 0.000037330847328, 0.000011504828625, -0.000072384738117, -0.000088922943583, -0.000031698233506, 0.511487020492554, 93.946252679824823, 0.782213106155396, -37.385560674667360, 0.597774562835693, 6.052086061477661, -0.124990003585815, -0.007432520799737, 0.999972356965557, -0.000207218024879, -1.931746263039440, -0.521929187748981, -0.004056114326896, -0.852979173785771, -844.218542103603909, -0.852956435353090, -0.006231632315493, 0.521944907196568, 856.357171964944541, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
6, -1.570797463500087, 1.201188687947231, 0.000038768998630, 0.000092997578342, -0.000072240922987, -0.000056505634426, -0.000031638346896, 0.610961500167847, 102.978266584396351, 0.858365535736084, -40.977050113677976, 0.666443805694580, 6.613456384658813, -0.124823127746582, -0.006484051994530, 0.999978971525515, -0.000116518266973, -2.412765544367206, -0.356138520425905, -0.002418149703011, -0.934430043834669, -924.953305931470709, -0.934410675954946, -0.006017396346273, 0.356146710784520, 691.968134716372674, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
7, -1.570789074520505, 1.386038495926624, 0.000039428133130, -0.000048625963736, -0.000072145017144, -0.000015669402382, -0.000031638346896, 0.635157995223999, 108.574378190994267, 0.910307655334473, -43.136169576644896, 0.704740114212036, 6.990262029647827, -0.126992513656616, -0.002481995693481, 0.999994914678122, 0.002002577157643, -2.818740067158630, -0.177873323175265, 0.001529167422254, -0.984052205195224, -974.016570464260781, -0.984050263248766, -0.002798618389400, 0.177868623245206, 515.537026119147981, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
8, -1.385987113542587, 0.092437442462299, 0.000033825462613, -0.000031069096853, -0.000072959998638, -0.000197889520980, -0.000031937943570, -0.065868236541748, 10.057004320144653, 0.058104743957520, -4.073054513931274, 0.058544931411743, 0.669172115325928, -0.105799282073975, 0.173891577631478, 0.984532086285602, 0.021407715967760, 18.658672852222740, -0.980570589896126, 0.175114273245983, -0.088409895013479, -89.421145877923863, -0.090791175009462, -0.005618040552708, 0.995854105861270, 1325.403311574107875, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
9, -1.385988072273761, 0.277179961671119, 0.000034904021548, -0.000074302156831, -0.000072912002083, -0.000119812271523, -0.000031848059114, 0.147195344924927, 30.161603212356567, 0.265873222351074, -12.101633491516115, 0.180917043685913, 1.965797386169434, -0.110138053894043, 0.167735611784694, 0.984347274193337, 0.054085195084801, 50.939399335444520, -0.946989914055532, 0.176132348823636, -0.268677312728419, -267.643187894422113, -0.273997932868681, -0.006151380821864, 0.961710607874154, 1291.422949782673413, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
