number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
0, -0.000000898844564, -0.000019174787097, -0.000063336634944, 0.000032477250309, -0.000081300927123, -0.000171164712255, -2.999988816398667, 0.120310350418091, 0.481241401672363, -0.019368247985840, -0.278198471069336, 0.029052371978760, 0.176721513748169, 0.132165664672852, -0.969206656559120, -0.246199269061672, 0.004937286197032, -1.344769448457343, 0.246189425656925, -0.969218454825346, -0.002520619106911, 0.724086220414183, 0.005405883480622, -0.001227493163917, 0.999984634724117, 1290.797767612956704, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
1, -0.000000719021109, -0.000019084902641, -0.000063456462705, 0.000032417309157, -0.000081205108548, -0.000171254596712, -2.699995774019605, 0.129047973632813, 0.481241401672363, -0.020248622894287, -0.278198471069336, 0.029052371978760, 0.172382741928101, -0.226617389678955, -0.998596745496144, 0.052728629113127, 0.004922555876742, -1.296811041521384, -0.052726586948282, -0.998608837985578, 0.000543806840586, 0.589396430384863, 0.004944381993199, 0.000283494170745, 0.999987736283681, 1290.753185503516534, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
2, -0.000000778962261, -0.000018994963643, -0.000063546347162, 0.000032297535937, -0.000081013296863, -0.000171194655560, -2.400052945581190, 0.120310350418091, 0.479225027084351, -0.019808435440063, -0.277758283615112, 0.026851434707642, 0.171381486892700, -0.269671356201172, -0.938790978285202, 0.344459075178749, 0.004409605120091, -1.225293930921953, -0.344455960426328, -0.938801324336474, 0.001471309232576, 0.598660526567868, 0.004646548944098, -0.000137662932932, 0.999989195257542, 1290.706735959339539, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
3, -0.000000719021109, -0.000018875190423, -0.000063636231618, 0.000032327479242, -0.000081061293417, -0.000171194655560, -2.099999682579853, 0.130392223358154, 0.485274150848389, -0.018928060531616, -0.282160158157349, 0.026851434707642, 0.169378976821899, -0.207760419845581, -0.794094104550276, 0.607781092868641, 0.004086106936431, -1.197579378016008, -0.607774853439686, -0.794104566169479, 0.002768666674040, 0.497864209651158, 0.004927539433013, -0.000284851161108, 0.999987819033288, 1290.663534707475719, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
4, -0.000000719021109, -0.000018875190423, -0.000063546347162, 0.000032297481396, -0.000081205108548, -0.000171254596712, -1.799902497331650, 0.127703723907471, 0.484602025985718, -0.019368247985840, -0.280399408340454, 0.024650497436523, 0.166875839233398, -0.263330074310303, -0.579037461440564, 0.815297584418088, 0.002338181023513, -1.122520281287295, -0.815296678422128, -0.579041325152156, 0.001571597875099, 0.488767240605934, 0.002635223389545, -0.000996297178017, 0.999996031486936, 1290.572602444764925, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
5, -0.000000749018956, -0.000018815194730, -0.000063516349315, 0.000032267538091, -0.000081013296863, -0.000171284540017, -1.499951100199281, 0.124343099594116, 0.483257776260376, -0.018487873077393, -0.280399408340454, 0.027291622161865, 0.171381486892700, -0.362120571136475, -0.313662388816007, 0.949532061452710, 0.002184059432285, -1.032216227544207, -0.949530783149306, -0.313666805976061, 0.002103967833016, 0.544460847508457, 0.002682851859900, -0.001413896086686, 0.999995401591304, 1290.624768708350757, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
6, -0.000000719021109, -0.000018755308120, -0.000063636231618, 0.000032297535937, -0.000081061293417, -0.000171254596712, -1.200057736682555, 0.128375848770142, 0.487962650299072, -0.020248622894287, -0.274236783981323, 0.025971059799194, 0.174385251998901, -0.348937379837036, -0.018378681450636, 0.999826988883479, 0.002866420822616, -1.135708358096796, -0.999828887653669, -0.018384593283455, 0.002049912932140, 0.604043261404993, 0.002102256255418, -0.002828255645843, 0.999993790725042, 1290.694478138638942, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
7, -0.000000778962261, -0.000018785251425, -0.000063516349315, 0.000032267538091, -0.000081061293417, -0.000171194655560, -0.900010915146064, 0.131064348220825, 0.491323274612427, -0.019368247985840, -0.279519033432007, 0.025090684890747, 0.177055265426636, -0.335253561019897, 0.278756090134979, 0.960359305502132, 0.002246452341272, -1.005105482062906, -0.960361330126572, 0.278752531652983, 0.001772482601814, 0.623379897321716, 0.001076015883125, -0.002651496278444, 0.999995905870271, 1290.699097195555396, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
8, -0.000000778962261, -0.000018665423664, -0.000063546347162, 0.000032267538091, -0.000081061293417, -0.000171134714409, -0.599915377706839, 0.127703723907471, 0.477880777359009, -0.022889747619629, -0.276437721252441, 0.028171997070312, 0.176220886230469, -0.313225950241089, 0.547239754834474, 0.836975771764234, 0.000456298554594, -0.919640461081948, -0.836972400455952, 0.547235812271416, 0.003188517311418, 0.826519847240207, 0.002419008827346, -0.002126792728349, 0.999994812561037, 1290.576539909269741, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
9, -0.000000749018956, -0.000018635480359, -0.000063546347162, 0.000032267538091, -0.000081061293417, -0.000171044829952, -0.299900434227309, 0.138457721710205, 0.485946275711060, -0.018047685623169, -0.279519033432007, 0.026411247253418, 0.180059030532837, -0.275512010574341, 0.771035628941441, 0.636791921868752, -0.000327330992723, -0.951423389816197, -0.636788718640181, 0.771033198394324, 0.002816875292984, 0.789205397898506, 0.002046146493737, -0.001963470529748, 0.999995979025919, 1290.570221197861883, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
